City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Jalingo,NG,72.0,broken clouds,8.8833,11.3667,Debright Motel
7,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
8,Mamallapuram,IN,78.85,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
11,Kirakira,SB,82.99,overcast clouds,-10.4544,161.9205,SanBiz Lodge
13,Bubaque,GW,77.22,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
17,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
22,Hambantota,LK,79.34,broken clouds,6.1241,81.1185,Bungalow 63
23,Luderitz,,73.38,broken clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
27,Rikitea,PF,79.05,scattered clouds,-23.1203,-134.9692,People ThankYou
34,Port Augusta,AU,85.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
36,Mabaruma,GY,71.19,broken clouds,8.2,-59.7833,Monty Brooms Guest House
40,Dingle,PH,83.98,few clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Cozumel,MX,73.94,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
43,Cidreira,BR,72.05,overcast clouds,-30.1811,-50.2056,Hotel Castelo
45,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Souillac,MU,79.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Sola,VU,86.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
51,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,Busselton,AU,88.05,clear sky,-33.65,115.3333,Observatory Guest House
55,Bethanien,,75.88,scattered clouds,-26.502,17.1583,Bethanie Hotel
60,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
62,Ipixuna,BR,78.75,broken clouds,-1.7625,-48.8043,Casa da Oscarina
63,Bluff,NZ,73.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
64,Mataura,NZ,73.47,few clouds,-46.1927,168.8643,Ellie's Villa
65,Tuatapere,NZ,73.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
66,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
68,Pauini,BR,72.82,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
69,Ahipara,NZ,78.93,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
72,Christchurch,NZ,78.94,few clouds,-43.5333,172.6333,The George
73,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
75,Lompoc,US,70.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
79,Tabou,CI,78.37,clear sky,4.423,-7.3528,hotêl doufoulougou
80,Kandy,LK,74.89,overcast clouds,7.2955,80.6356,Thilanka Hotel - Kandy
81,Hilo,US,75.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
82,Bodden Town,KY,77.94,few clouds,19.2833,-81.25,Will T Place
87,New Norfolk,AU,73.92,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
88,Puerto Ayora,EC,73.74,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
