City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-20.18,69,100,10.36,light snow
1,Bredasdorp,ZA,-34.5322,20.0403,62.28,83,100,6.46,overcast clouds
2,Jalingo,NG,8.8833,11.3667,72.0,16,78,5.32,broken clouds
3,Albany,US,42.6001,-73.9662,40.68,68,99,2.93,overcast clouds
4,Lashio,MM,22.9333,97.75,64.18,41,3,1.16,clear sky
5,Hovd,MN,48.0056,91.6419,-4.56,92,99,0.07,overcast clouds
6,Hasaki,JP,35.7333,140.8333,41.4,83,100,17.49,moderate rain
7,Touros,BR,-5.1989,-35.4608,79.7,72,85,8.34,overcast clouds
8,Mamallapuram,IN,12.6264,80.1722,78.85,65,41,8.16,scattered clouds
9,Jamestown,US,42.097,-79.2353,43.92,40,75,12.66,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,44.71,61,40,25.32,scattered clouds
11,Kirakira,SB,-10.4544,161.9205,82.99,80,98,11.05,overcast clouds
12,Torbay,CA,47.6666,-52.7314,36.27,91,75,27.63,broken clouds
13,Bubaque,GW,11.2833,-15.8333,77.22,71,4,4.25,clear sky
14,Kodiak,US,57.79,-152.4072,20.71,42,0,5.75,clear sky
15,Castro,BR,-24.7911,-50.0119,58.24,99,22,5.73,few clouds
16,Ushuaia,AR,-54.8,-68.3,47.86,46,75,14.97,broken clouds
17,Kahului,US,20.8947,-156.47,80.62,70,40,11.5,scattered clouds
18,Komsomolskiy,UZ,40.4272,71.7189,33.22,86,100,6.91,mist
19,Barinas,VE,8.6226,-70.2075,91.44,52,100,2.3,overcast clouds
20,Orsha,BY,54.5153,30.4053,35.26,95,99,16.44,overcast clouds
21,Wuzhou,CN,23.4833,111.3167,51.37,87,100,2.15,overcast clouds
22,Hambantota,LK,6.1241,81.1185,79.34,69,73,3.36,broken clouds
23,Luderitz,NA,-26.6481,15.1594,73.38,51,81,17.31,broken clouds
24,Plessisville,CA,46.2186,-71.762,28.26,88,100,5.3,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,65.89,86,99,6.44,light rain
26,Oconomowoc,US,43.1117,-88.4993,34.88,84,100,8.05,light snow
27,Rikitea,PF,-23.1203,-134.9692,79.05,73,37,17.2,scattered clouds
28,Balad,IQ,34.0164,44.1453,60.58,31,94,25.61,overcast clouds
29,Ayan,RU,56.45,138.1667,17.01,92,100,8.95,light snow
30,Beloha,MG,-25.1667,45.05,70.65,91,6,4.07,clear sky
31,Leningradskiy,RU,69.3833,178.4167,-29.63,97,81,6.38,broken clouds
32,San Francisco,US,37.7749,-122.4194,65.88,49,0,4.61,clear sky
33,Pevek,RU,69.7008,170.3133,-30.96,99,99,4.81,overcast clouds
34,Port Augusta,AU,-32.5,137.7667,85.71,39,26,18.5,scattered clouds
35,Severo-Kurilsk,RU,50.6789,156.125,30.78,71,100,18.48,overcast clouds
36,Mabaruma,GY,8.2,-59.7833,71.19,88,75,2.51,broken clouds
37,Yerbogachen,RU,61.2767,108.0108,-17.48,95,92,4.85,overcast clouds
38,Gat,IL,31.61,34.7642,47.39,100,89,19.57,overcast clouds
39,Geraldton,AU,-28.7667,114.6,100.81,15,0,5.75,clear sky
40,Dingle,PH,10.9995,122.6711,83.98,62,15,16.49,few clouds
41,Port Alfred,ZA,-33.5906,26.891,65.01,81,1,9.15,clear sky
42,Cozumel,MX,20.5083,-86.9458,73.94,87,20,10.36,few clouds
43,Cidreira,BR,-30.1811,-50.2056,72.05,71,94,13.62,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,-6.59,87,100,18.41,light snow
45,Mahebourg,MU,-20.4081,57.7,79.25,88,20,2.3,few clouds
46,Kapaa,US,22.0752,-159.319,76.98,71,100,8.05,overcast clouds
47,Souillac,MU,-20.5167,57.5167,79.36,88,20,2.3,few clouds
48,Guerrero Negro,MX,27.9769,-114.0611,62.6,63,0,9.08,clear sky
49,Elko,US,41.0002,-115.5012,41.05,64,12,5.01,few clouds
50,Sola,VU,-13.8833,167.55,86.67,70,75,11.5,broken clouds
51,Vaini,TO,-21.2,-175.2,86.16,84,40,10.36,scattered clouds
52,Airai,TL,-8.9266,125.4092,69.64,83,85,1.19,moderate rain
53,Busselton,AU,-33.65,115.3333,88.05,36,5,3.02,clear sky
54,Kargasok,RU,59.0556,80.8572,-20.81,100,67,3.47,broken clouds
55,Bethanien,NA,-26.502,17.1583,75.88,29,39,7.72,scattered clouds
56,Khatanga,RU,71.9667,102.5,-3.3,94,77,14.5,broken clouds
57,Ayabaca,PE,-4.6398,-79.7149,49.48,94,100,2.15,overcast clouds
58,Afsin,TR,38.2477,36.914,34.48,99,100,5.44,snow
59,Qaanaaq,GL,77.484,-69.3632,-21.46,64,94,6.93,overcast clouds
60,San Cristobal,VE,7.7669,-72.225,73.58,93,97,1.66,overcast clouds
61,Thompson,CA,55.7435,-97.8558,-2.04,65,100,3.44,overcast clouds
62,Ipixuna,BR,-1.7625,-48.8043,78.75,98,63,3.06,broken clouds
63,Bluff,NZ,-46.6,168.3333,73.8,84,45,12.62,scattered clouds
64,Mataura,NZ,-46.1927,168.8643,73.47,29,16,8.25,few clouds
65,Tuatapere,NZ,-46.1333,167.6833,73.81,55,32,5.08,scattered clouds
66,Avarua,CK,-21.2078,-159.775,80.65,83,40,12.66,scattered clouds
67,Cape Town,ZA,-33.9258,18.4232,66.61,91,75,4.61,light intensity drizzle
68,Pauini,BR,-7.7136,-66.9764,72.82,98,96,2.48,overcast clouds
69,Ahipara,NZ,-35.1667,173.1667,78.93,70,100,11.25,overcast clouds
70,Dikson,RU,73.5069,80.5464,4.48,94,100,21.68,overcast clouds
71,Gotsu,JP,35.0,132.2167,46.54,60,95,6.76,overcast clouds
72,Christchurch,NZ,-43.5333,172.6333,78.94,71,20,4.61,few clouds
73,Sabang,ID,5.8933,95.3214,81.66,74,100,13.4,overcast clouds
74,Seoul,KR,37.5683,126.9778,44.11,38,0,10.36,clear sky
75,Lompoc,US,34.6391,-120.4579,70.79,56,0,0.0,clear sky
76,Provideniya,RU,64.3833,-173.3,-3.89,59,0,15.66,clear sky
77,Kununurra,AU,-15.7667,128.7333,93.18,55,40,8.05,scattered clouds
78,Klaksvik,FO,62.2266,-6.589,32.92,63,100,22.12,overcast clouds
79,Tabou,CI,4.423,-7.3528,78.37,87,8,4.18,clear sky
80,Kandy,LK,7.2955,80.6356,74.89,72,85,2.68,overcast clouds
81,Hilo,US,19.7297,-155.09,75.25,75,0,5.75,clear sky
82,Bodden Town,KY,19.2833,-81.25,77.94,84,20,3.44,few clouds
83,Dubbo,AU,-32.25,148.6167,93.33,21,40,5.75,scattered clouds
84,Togur,RU,58.3631,82.8265,-18.04,99,94,4.07,overcast clouds
85,Ocseny,HU,46.3137,18.7575,42.22,80,0,3.4,clear sky
86,Ponta Do Sol,PT,32.6667,-17.1,69.12,19,100,3.58,overcast clouds
87,New Norfolk,AU,-42.7826,147.0587,73.92,26,8,9.66,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,73.74,83,96,5.86,overcast clouds
89,Cabo San Lucas,MX,22.8909,-109.9124,70.52,72,20,5.75,few clouds
90,Umiray,PH,15.2206,121.4111,80.69,75,40,15.5,scattered clouds
91,Cherskiy,RU,68.75,161.3,-39.17,98,89,4.59,overcast clouds
92,East London,ZA,-33.0153,27.9116,61.74,94,0,2.3,clear sky
93,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,20,2.3,few clouds
94,Aras,ES,42.5617,-2.356,40.32,100,0,1.14,mist
95,Mar Del Plata,AR,-38.0023,-57.5575,66.87,84,0,17.0,clear sky
96,Morant Bay,JM,17.8815,-76.4093,78.42,85,16,4.38,few clouds
97,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,4.61,overcast clouds
98,Aklavik,CA,68.2191,-135.0107,-19.37,96,100,7.29,overcast clouds
99,Ketou,BJ,7.3633,2.5998,75.52,91,41,2.86,scattered clouds
100,Champagnole,FR,46.7445,5.9135,41.43,60,95,5.03,overcast clouds
101,Carnarvon,AU,-24.8667,113.6333,84.27,65,0,17.27,clear sky
102,Georgetown,MY,5.4112,100.3354,82.33,82,40,6.91,scattered clouds
103,Chone,EC,-0.6833,-80.1,73.09,94,85,2.77,overcast clouds
104,Tasiilaq,GL,65.6145,-37.6368,14.16,54,100,8.41,overcast clouds
105,North Platte,US,41.1239,-100.7654,37.29,74,100,8.05,overcast clouds
106,Bud,US,39.447,-86.1758,39.67,80,81,9.51,broken clouds
107,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,0,3.44,clear sky
108,Ketchikan,US,55.3422,-131.6461,46.87,87,100,9.22,mist
109,Teya,RU,60.3778,92.6267,-5.82,92,100,1.41,overcast clouds
110,Barra Patuca,HN,15.8,-84.2833,75.09,80,28,8.37,scattered clouds
111,Porosozero,RU,62.7191,32.727,26.13,96,100,8.99,snow
112,Salalah,OM,17.0151,54.0924,69.89,24,0,12.66,clear sky
113,Upernavik,GL,72.7868,-56.1549,-13.56,79,100,8.37,overcast clouds
114,Saldanha,ZA,-33.0117,17.9442,62.65,93,50,4.59,scattered clouds
115,Katsuura,JP,35.1333,140.3,40.1,78,100,17.67,overcast clouds
116,Matagami,CA,49.7502,-77.6328,24.91,93,100,6.91,light snow
117,Pochutla,MX,15.7432,-96.4661,76.05,79,28,3.78,scattered clouds
118,Roma,US,43.2128,-75.4557,46.26,63,100,9.22,overcast clouds
119,Cacapava,BR,-23.1008,-45.7069,66.45,94,100,1.21,overcast clouds
120,Ekhabi,RU,53.5102,142.9671,17.01,93,100,13.2,light snow
121,Jasper,US,37.2001,-94.3502,47.64,46,0,0.0,clear sky
122,Quatre Cocos,MU,-20.2078,57.7625,79.09,77,75,5.57,broken clouds
123,Atuona,PF,-9.8,-139.0333,78.58,77,11,17.0,few clouds
124,Fort Nelson,CA,58.8053,-122.7002,8.19,85,40,0.0,scattered clouds
125,Cayenne,GF,4.9333,-52.3333,75.24,92,75,8.05,broken clouds
126,Buta,CD,2.7858,24.73,69.06,45,97,1.95,overcast clouds
127,Fortuna,US,40.5982,-124.1573,56.08,81,0,9.22,clear sky
128,Huambo,AO,-12.7761,15.7392,55.8,93,100,1.97,overcast clouds
